,ID,doc,Тип документу,Зразок,Замовник,Виробник,Густина кг/м3,ОЧД,ОЧМ,Фракція_70,Фракція_100,Фракція_150,10%,50%,90%,Кінець кипіння,Залишок після випаровування,ДНП,Індукційний період,Фактичні смоли,Сірка,Олефінові вуглеводні,Ароматичні вуглеводні,Бензол,Кисневмісні: метанол,Кисневмісні: етанол,Кисневмісні: ізопропіловий спирт,Кисневмісні: ізобутиловий спирт,Кисневмісні: третбутиловий, Кисневмісні: етери
81,951/19,D:\Margo\python\protocols\Protocol_171.docx,ПРОТОКОЛ,бензин автомобільний А-95-Євро5-Е5,"Орган з сертифікації та оцінки відповідності продукції і послуг ТОВ «Орган з сертифікації «ПРОМСТАНДАРТ», 49000, м. Дніпро, вул. Старокозацька,56,к. 2,3, (ТОВ «Ферст Груп», 49000, Дніпропетровська область, м. Дніпро, вул. Троїцька, буд. 15/3, оф. 2, код ЄДРПОУ 41701663.","ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5.","742,5","95,0","85,1","31,0","54,0","81,5",na,na,na,"198,0","1,1","53,6",,1,"4,7","10,795","33,4","0,536","(< 0,17(відсутність)","< 0,17(відсутність)","(< 0,17(відсутність)","(< 0,17(відсутність)","(< 0,17(відсутність)","3,8"
82,125/19,D:\Margo\python\protocols\Protocol_172.docx,ПРОТОКОЛ,"бензин автомобільний неетильований А-95 «Premium» з вмістом кисню до 2,7% мас., клас D.","ТОВ «ГРАНД-ПЕТРОЛ», 04073, м. Київ, Оболонський р-н, просп. Степана Бандери, 22, код ЄДРПОУ 39641883.",АО «ОРЛЕН ЛЕТУВА».,na,na,"85,1","41,5","63,0","89,5",na,na,na,"<0,17","1,1",na,na,na,"7,3",na,"26,2","0,705","<0,17","<0,17","<0,17","<0,17","<0,17","11,6"
83,197/19,D:\Margo\python\protocols\Protocol_173.docx,ПРОТОКОЛ,бензин автомобільний неетильований А-98 «Super » з вмістом кисню,"ТОВ «ГРАНД ПЕТРОЛ», 04073, м. Київ, Оболонський р-н, проспект Степана Бандери, 22 (код ЄДРПОУ 39641883)",АО «ОРЛЕН Летува».,na,"98,1",na,38,"62,0","91,0",na,na,na,"Менше 0,17","1,2",na,na,na,"5,9",na,"28,1","0,914","0,31","0,3","Менше 0,17","Менше 0,17","Менше 0,17","12,3"
84,226/19,D:\Margo\python\protocols\Protocol_174.docx,ПРОТОКОЛ,паливо моторне альтернативне А-80А-ДЗ для інжекторних та карбюраторних двигунів,"Орган з сертифікації та оцінки відповідності продукції і послуг ТОВ «Орган з сертифікації ПРОМСТАНДАРТ», 49000, м. Дніпро, вул. Старокозацька, 56, к.2,3 (за заявкою ТОВ «Ферст Груп», 49000, Дніпропетровська область, м. Дніпро, вул. Троїцька, буд. 15/3, оф. 2, код ЄДРПОУ 41701663).","ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5.","720,1","89,4","84,7",na,na,na,"47,0","66,5","162,5","192,5","1,0","60,9",,1,"<3 (1,1)",na,"26,0","0,022","Менше 0,17","Менше 0,17","Менше 0,17","Менше 0,17","Менше 0,17","Менше 0,17"
85,324/19,D:\Margo\python\protocols\Protocol_175.docx,ПРОТОКОЛ,бензин автомобільний неетильований А-95 «Premium» з вмістом кисню,"ТОВ «ГРАНД ПЕТРОЛ», 04073, м. Київ, Оболонський р-н, проспект Степана Бандери, 22 (код ЄДРПОУ 39641883)",АО «ОРЛЕН Летува».,na,na,na,"39,5","62,0","91,5",na,na,na,"Менше 0,17","1,2",na,na,na,"5,5",na,"24,8","0,590","0,31","0,3","Менше 0,17","Менше 0,17","Менше 0,17","13,4"
86,1362/19,D:\Margo\python\protocols\Protocol_18.docx,ПРОТОКОЛ,бензин А-92 Євро. (проба №222),"ДП «ОРГАН З СЕРТИФІКАЦІЇ  НАФТОПРОДУКТІВ ТА СИСТЕМ ЯКОСТІ «МАСМА-СЕПРО», м. Київ, проспект Академіка Палладіна,46,корпус 4.",ПАТ «Укртатнафта»,na,na,"82,1",na,na,na,na,na,na,-,na,na,na,na,"31,4","3,381",na,"0,988","0,2","11,1","<0,17","11,1","<0,17","8,7"
87,1363/19,D:\Margo\python\protocols\Protocol_19.docx,ПРОТОКОЛ,бензин А-95 Євро. (проба №223),"ДП «ОРГАН З СЕРТИФІКАЦІЇ  НАФТОПРОДУКТІВ ТА СИСТЕМ ЯКОСТІ «МАСМА-СЕПРО», м. Київ, проспект Академіка Палладіна,46,корпус 4.",ПАТ «Укртатнафта»,na,na,"84,0",na,na,na,na,na,na,-,na,na,na,na,"67,2","6,024",na,"1,530","0,3","8,9","<0,17","7,7","<0,17","11,4"
88,1049/19,D:\Margo\python\protocols\Protocol_2.docx,ПАСПОРТ,бензин автомобільний довготривалого зберігання А-80-ДЗ,-1,"постачальник: ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5","751,4","83,8","78,7",na,na,na,"64,5","101,5","153,0","192,5","1,0","49,5",,"1,0","3,3","1,602","34,7","0,938",відсутність,na,відсутність,відсутність,відсутність,відсутність
89,1494/19,D:\Margo\python\protocols\Protocol_21.docx,ПРОТОКОЛ,"бензин автомобільний неетильованого А-95 «Premium» з вмістом кисню до 2,7 % мас., клас D","ТОВ «Гранд-Петрол», 04073, м. Київ, Оболонський р-н., проспект Степана Бандери, 22, код ЄДРПОУ 39641883",АО «ОРЛЕН Летува»,na,"95,7",na,"46,5","68,5","93,5",na,na,na,"179,5","1,0",na,na,na,"5,4",na,"22,7","0,711","Менше 0,17","0,3","Менше 0,17","Менше 0,17","0,7","10,6"
90,1512/19,D:\Margo\python\protocols\Protocol_22.docx,ПРОТОКОЛ,"бензин автомобільний неетильованого А-95 «Premium» з вмістом кисню до 2,7 % мас., клас В","ТОВ «Гранд-Петрол», 04073, м. Київ, Оболонський р-н., проспект Степана Бандери, 22, код ЄДРПОУ 39641883",АО «ОРЛЕН Летува»,na,"95,6",na,na,na,na,na,na,na,-,na,na,na,na,na,na,na,na,"0,3","Менше 0,17","Менше 0,17","Менше 0,17","Менше 0,17","10,9"
